epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.538,1.0294,11.1636,0.71298,3.28268,1.27229,0.78632,0.45461,0.31619,0.23243,0,0,0,0,0.79733,11.1098,0.70409,2.6375,1.22176,0.067112,0.000165266,0.000165266
2,33.6979,0.91569,11.0312,0.70459,2.71243,1.19397,0.68904,0.4125,0.44074,0.36312,0,0,0,0,0.71305,10.729,0.69976,2.19983,1.15474,0.0339451,0.000331606,0.000331606
3,49.8198,0.86363,10.6531,0.69835,2.28336,1.13716,0.63756,0.65901,0.62536,0.50673,0,0,0,0,0.68776,10.1698,0.6947,1.75002,1.11441,0.000776748,0.000496636,0.000496636
4,65.2212,0.84987,10.2437,0.69526,1.93103,1.1223,0.52392,0.97368,0.68741,0.54934,0,0,0,0,0.69257,9.74558,0.69869,1.50397,1.10577,0.000495576,0.000495576,0.000495576
5,80.5234,0.83391,9.69283,0.69603,1.71636,1.09441,0.62065,0.88289,0.73766,0.59011,0,0,0,0,0.68117,9.32709,0.70318,1.32712,1.08176,0.000492154,0.000492154,0.000492154
6,95.7619,0.82046,9.36291,0.69583,1.5515,1.08768,0.58207,0.93603,0.81512,0.64705,0.25672,0.00658,0.00018,2e-05,0.66198,8.8844,0.7033,1.31327,1.06657,0.000487776,0.000487776,0.000487776
7,111.006,0.76946,8.97979,0.6928,1.38506,1.05754,0.69961,0.93703,0.82281,0.66581,0.25675,0.00658,0.00021,2e-05,0.66506,8.5392,0.69848,1.15784,1.05756,0.000482462,0.000482462,0.000482462
8,126.269,0.7636,8.65869,0.69352,1.32704,1.06215,0.74253,0.90964,0.86773,0.72266,0.26362,0.01316,0.0012,0.00014,0.64867,8.18643,0.69274,1.06833,1.0578,0.000476231,0.000476231,0.000476231
9,141.541,0.74258,8.33072,0.69101,1.26539,1.04876,0.76138,0.86082,0.86489,0.70213,0.26346,0.01316,0.00091,9e-05,0.68866,7.87742,0.68106,1.00069,1.06463,0.000469108,0.000469108,0.000469108
10,157.102,0.71138,8.09121,0.69351,1.20245,1.02771,0.87301,0.81601,0.90162,0.73274,0.26337,0.01316,0.00094,0.00012,0.66726,7.61307,0.68015,0.97351,1.05911,0.000461121,0.000461121,0.000461121
11,172.355,0.70465,7.90791,0.69019,1.17606,1.03191,0.81756,0.9,0.9183,0.74655,0.31641,0.06579,0.01801,0.00182,0.65165,7.33431,0.67499,0.93245,1.04756,0.000452302,0.000452302,0.000452302
12,188.285,0.69969,7.69316,0.69247,1.16045,1.02864,0.83318,0.87113,0.91806,0.75876,0.26327,0.01316,0.00079,0.0001,0.64083,7.23798,0.67792,0.8964,1.0446,0.000442686,0.000442686,0.000442686
13,207.13,0.6531,7.52792,0.69278,1.10564,1.02316,0.8716,0.89189,0.92822,0.76876,0.04015,0.03947,0.00775,0.00085,0.63856,6.96021,0.67349,0.84188,1.04254,0.00043231,0.00043231,0.00043231
14,222.86,0.65405,7.3008,0.69053,1.07209,1.01204,0.81144,0.91524,0.93117,0.76467,0.18103,0.18602,0.11029,0.01111,0.64837,6.71933,0.67117,0.84274,1.04401,0.000421216,0.000421216,0.000421216
15,239.915,0.65595,7.11879,0.68892,1.0559,1.00167,0.94263,0.85618,0.9385,0.77985,0.21739,0.19671,0.14078,0.01726,0.64083,6.53273,0.67429,0.78772,1.04311,0.000409447,0.000409447,0.000409447
16,257.522,0.63239,6.86594,0.68698,1.03758,0.99985,0.88431,0.8875,0.93575,0.76976,0.22874,0.22549,0.17186,0.03993,0.63439,6.31364,0.66815,0.77111,1.03977,0.000397049,0.000397049,0.000397049
17,275.016,0.6525,6.93631,0.68515,1.03773,1.01268,0.86821,0.89202,0.93339,0.77508,0.25182,0.25181,0.21831,0.04263,0.62308,6.16135,0.66661,0.74327,1.023,0.000384073,0.000384073,0.000384073
18,292.355,0.61416,6.72127,0.68536,1.03415,0.99533,0.88136,0.87064,0.93413,0.78127,0.2841,0.28339,0.22309,0.04974,0.62774,6.01891,0.66177,0.73098,1.03438,0.000370568,0.000370568,0.000370568
